Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method
SAR-IMPERIAL-01,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSA,1/9/2019,14:10,0.4,ND,ng/L,4,N,19010196-02,537
SAR-IMPERIAL-01,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSA,1/17/2019,14:15,0.4,ND,ng/L,4,N,19010402-02,537
SAR-IMPERIAL-01,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSA,2/5/2019,13:45,0.4,ND,ng/L,4,N,19020068-02,537
SAR-IMPERIAL-01,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSA,2/20/2019,13:00,0.4,ND,ng/L,4,N,19020428-02,537
SAR-IMPERIAL-01,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSA,3/21/2019,11:50,0.4,ND,ng/L,4,N,19030524-02,537RV1.1
SAR-IMPERIAL-01,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSA,4/9/2019,11:45,0.4,ND,ng/L,4,N,19040286-02,537RV1.1
SAR-IMPERIAL-01,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSA,5/7/2019,9:50,0.4,ND,ng/L,4,N,19050172-02,537RV1.1
SAR-IMPERIAL-01,N-ethyl perfluorooctanesulfonamidoacetic acid,EtFOSA,6/4/2019,11:35,0.4,ND,ng/L,4,N,19060084-02,537RV1.1
SAR-IMPERIAL-01,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSA,1/9/2019,14:10,0.4,ND,ng/L,4,N,19010196-02,537
SAR-IMPERIAL-01,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSA,1/17/2019,14:15,0.4,ND,ng/L,4,N,19010402-02,537
SAR-IMPERIAL-01,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSA,2/5/2019,13:45,0.4,ND,ng/L,4,N,19020068-02,537
SAR-IMPERIAL-01,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSA,2/20/2019,13:00,0.4,ND,ng/L,4,N,19020428-02,537
SAR-IMPERIAL-01,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSA,3/21/2019,11:50,0.4,ND,ng/L,4,N,19030524-02,537RV1.1
SAR-IMPERIAL-01,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSA,4/9/2019,11:45,0.4,ND,ng/L,4,N,19040286-02,537RV1.1
SAR-IMPERIAL-01,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSA,5/7/2019,9:50,0.4,ND,ng/L,4,N,19050172-02,537RV1.1
SAR-IMPERIAL-01,N-methyl perfluorooctanesulfonamidoacetic acid,MeFOSA,6/4/2019,11:35,0.4,ND,ng/L,4,N,19060084-02,537RV1.1
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,6/14/2016,12:10,9,ND,ng/L,90,N,16060368-19,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,7/5/2016,11:35,9,ND,ng/L,90,N,16070079-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,7/14/2016,9:30,9,ND,ng/L,90,N,16070370-01,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,7/26/2016,8:40,9,ND,ng/L,90,N,16070714-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,8/9/2016,11:55,9,ND,ng/L,90,N,16080311-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,8/23/2016,11:45,6.44,6.44,ng/L,4,Y,16080703-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,9/6/2016,9:10,10.7,10.7,ng/L,4,Y,16090097-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,10/17/2016,11:35,9.8,9.8,ng/L,4,Y,16100490-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,11/2/2016,11:30,11,11.0,ng/L,4,Y,16110096-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,1/19/2017,8:30,4,4.0,ng/L,4,Y,17010533-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2/1/2017,8:45,5.6,5.6,ng/L,4,Y,17020048-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2/14/2017,11:45,5.5,5.5,ng/L,4,Y,17020372-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2/28/2017,10:45,8.8,8.8,ng/L,4,Y,17020707-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,3/14/2017,10:30,7.5,7.5,ng/L,4,Y,17030363-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,3/28/2017,8:45,9.1,9.1,ng/L,4,Y,17030715-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,4/11/2017,11:50,10.7,10.7,ng/L,4,Y,17040341-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,4/24/2017,10:50,12.6,12.6,ng/L,4,Y,17040732-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,4/25/2017,14:15,12.1,12.1,ng/L,4,Y,17040815-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,5/9/2017,11:30,12.3,12.3,ng/L,4,Y,17050282-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,5/22/2017,12:05,11.9,11.9,ng/L,4,Y,17050689-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,6/6/2017,8:50,13.9,13.9,ng/L,4,Y,17060172-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,6/21/2017,9:25,11.4,11.4,ng/L,4,Y,17060591-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,6/28/2017,9:20,12.4,12.4,ng/L,4,Y,17060805-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,7/18/2017,12:10,11.9,11.9,ng/L,4,Y,17070563-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,8/1/2017,13:00,13.3,13.3,ng/L,4,Y,17080025-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,8/29/2017,10:10,11,11.0,ng/L,4,Y,17080783-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,9/29/2017,10:30,12.2,12.2,ng/L,4,Y,17090751-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,10/11/2017,12:40,11.5,11.5,ng/L,4,Y,17100389-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,11/8/2017,10:20,11.3,11.3,ng/L,4,Y,17110223-02,537
SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,11/20/2017,11:40,8.7,8.7,ng/L,4,Y,17110511-02,537
