Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,5/22/2018,14:05,0.4,ND,ng/L,4,N,18050579-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,7/23/2018,10:25,0.4,ND,ng/L,4,N,18070599-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,8/14/2018,11:50,0.4,ND,ng/L,4,N,18080368-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,9/18/2018,12:00,0.4,ND,ng/L,4,N,18090350-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,10/22/2018,12:35,0.4,ND,ng/L,4,N,18100715-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,11/7/2018,9:45,0.4,ND,ng/L,4,N,18110189-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,12/4/2018,13:15,0.4,ND,ng/L,4,N,18120064-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,12/18/2018,13:15,0.4,ND,ng/L,4,N,18120400-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,1/9/2019,14:10,0.4,ND,ng/L,4,N,19010196-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,1/17/2019,14:15,0.4,ND,ng/L,4,N,19010402-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,2/5/2019,13:45,0.4,ND,ng/L,4,N,19020068-02,537
SAR-IMPERIAL-01,Perfluoro-2-propoxypropanoic acid,GenX,2/20/2019,13:00,0.4,ND,ng/L,4,N,19020428-02,537
