Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,6/14/2016,12:10,1,ND,ng/L,10,N,16060368-19,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,7/5/2016,11:35,1,ND,ng/L,10,N,16070079-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,7/14/2016,9:30,1,ND,ng/L,10,N,16070370-01,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,7/26/2016,8:40,1,ND,ng/L,10,N,16070714-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,8/9/2016,11:55,1,ND,ng/L,10,N,16080311-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,8/23/2016,11:45,0.4,ND,ng/L,4,N,16080703-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,9/6/2016,9:10,4.34,4.34,ng/L,4,Y,16090097-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,10/17/2016,11:35,10.9,10.9,ng/L,4,Y,16100490-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,11/2/2016,11:30,5.5,5.5,ng/L,4,Y,16110096-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,1/19/2017,8:30,0.4,ND,ng/L,4,N,17010533-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2/1/2017,8:45,4.3,4.3,ng/L,4,Y,17020048-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2/14/2017,11:45,4.2,4.2,ng/L,4,Y,17020372-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2/28/2017,10:45,6.7,6.7,ng/L,4,Y,17020707-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,3/14/2017,10:30,5,5.0,ng/L,4,Y,17030363-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,3/28/2017,8:45,5.8,5.8,ng/L,4,Y,17030715-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,4/11/2017,11:50,6.6,6.6,ng/L,4,Y,17040341-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,4/24/2017,10:50,5.6,5.6,ng/L,4,Y,17040732-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,4/25/2017,14:15,5.7,5.7,ng/L,4,Y,17040815-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,5/9/2017,11:30,7.4,7.4,ng/L,4,Y,17050282-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,5/22/2017,12:05,5.4,5.4,ng/L,4,Y,17050689-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,6/6/2017,8:50,5,5.0,ng/L,4,Y,17060172-02,537
SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,6/21/2017,9:25,5.1,5.1,ng/L,4,Y,17060591-02,537
