Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,6/14/2016,12:10,3,ND,ng/L,30,N,16060368-19,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,7/5/2016,11:35,3,ND,ng/L,30,N,16070079-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,7/14/2016,9:30,3,ND,ng/L,30,N,16070370-01,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,7/26/2016,8:40,3,ND,ng/L,30,N,16070714-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,8/9/2016,11:55,3,ND,ng/L,30,N,16080311-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,8/23/2016,11:45,4.96,4.96,ng/L,4,Y,16080703-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,9/6/2016,9:10,7.87,7.87,ng/L,4,Y,16090097-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,10/17/2016,11:35,6.7,6.7,ng/L,4,Y,16100490-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,11/2/2016,11:30,6.4,6.4,ng/L,4,Y,16110096-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,1/19/2017,8:30,0.4,ND,ng/L,4,N,17010533-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2/1/2017,8:45,4.4,4.4,ng/L,4,Y,17020048-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2/14/2017,11:45,4.5,4.5,ng/L,4,Y,17020372-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2/28/2017,10:45,7.6,7.6,ng/L,4,Y,17020707-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,3/14/2017,10:30,6.3,6.3,ng/L,4,Y,17030363-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,3/28/2017,8:45,8,8.0,ng/L,4,Y,17030715-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,4/11/2017,11:50,8.7,8.7,ng/L,4,Y,17040341-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,4/24/2017,10:50,11.2,11.2,ng/L,4,Y,17040732-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,4/25/2017,14:15,10.6,10.6,ng/L,4,Y,17040815-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,5/9/2017,11:30,9.8,9.8,ng/L,4,Y,17050282-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,5/22/2017,12:05,9.7,9.7,ng/L,4,Y,17050689-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,6/6/2017,8:50,10.3,10.3,ng/L,4,Y,17060172-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,6/21/2017,9:25,10.3,10.3,ng/L,4,Y,17060591-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,6/28/2017,9:20,10.8,10.8,ng/L,4,Y,17060805-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,7/18/2017,12:10,9.5,9.5,ng/L,4,Y,17070563-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,8/1/2017,13:00,11,11.0,ng/L,4,Y,17080025-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,8/29/2017,10:10,8.6,8.6,ng/L,4,Y,17080783-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,9/29/2017,10:30,9,9.0,ng/L,4,Y,17090751-02,537
SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,10/11/2017,12:40,8.5,8.5,ng/L,4,Y,17100389-02,537
