Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,6/14/2016,12:10,2,ND,ng/L,20,N,16060368-19,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,7/5/2016,11:35,2,ND,ng/L,20,N,16070079-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,7/14/2016,9:30,2,ND,ng/L,20,N,16070370-01,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,7/26/2016,8:40,2,ND,ng/L,20,N,16070714-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,8/9/2016,11:55,2,ND,ng/L,20,N,16080311-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,8/23/2016,11:45,0.4,ND,ng/L,4,N,16080703-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,9/6/2016,9:10,0.4,ND,ng/L,4,N,16090097-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,10/17/2016,11:35,7.6,7.6,ng/L,4,Y,16100490-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,11/2/2016,11:30,0.4,ND,ng/L,4,N,16110096-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,1/19/2017,8:30,0.4,ND,ng/L,4,N,17010533-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2/1/2017,8:45,0.4,ND,ng/L,4,N,17020048-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2/14/2017,11:45,0.4,ND,ng/L,4,N,17020372-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2/28/2017,10:45,0.4,ND,ng/L,4,N,17020707-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,3/14/2017,10:30,0.4,ND,ng/L,4,N,17030363-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,3/28/2017,8:45,0.4,ND,ng/L,4,N,17030715-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,4/11/2017,11:50,0.4,ND,ng/L,4,N,17040341-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,4/24/2017,10:50,0.4,ND,ng/L,4,N,17040732-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,4/25/2017,14:15,0.4,ND,ng/L,4,N,17040815-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,5/9/2017,11:30,0.4,ND,ng/L,4,N,17050282-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,5/22/2017,12:05,0.4,ND,ng/L,4,N,17050689-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,6/6/2017,8:50,0.4,ND,ng/L,4,N,17060172-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,6/21/2017,9:25,0.4,ND,ng/L,4,N,17060591-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,6/28/2017,9:20,0.4,ND,ng/L,4,N,17060805-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,7/18/2017,12:10,0.4,ND,ng/L,4,N,17070563-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,8/1/2017,13:00,0.4,ND,ng/L,4,N,17080025-02,537
SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,8/29/2017,10:10,0.4,ND,ng/L,4,N,17080783-02,537
