Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,6/14/2016,12:10,2,ND,ng/L,20,N,16060368-19,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,7/5/2016,11:35,2,ND,ng/L,20,N,16070079-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,7/14/2016,9:30,2,ND,ng/L,20,N,16070370-01,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,7/26/2016,8:40,2,ND,ng/L,20,N,16070714-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,8/9/2016,11:55,2,ND,ng/L,20,N,16080311-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,8/23/2016,11:45,12,12.0,ng/L,4,Y,16080703-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,9/6/2016,9:10,17.9,17.9,ng/L,4,Y,16090097-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,10/17/2016,11:35,39.8,39.8,ng/L,4,Y,16100490-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,11/2/2016,11:30,18.8,18.8,ng/L,4,Y,16110096-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,1/19/2017,8:30,10.4,10.4,ng/L,4,Y,17010533-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2/1/2017,8:45,10.8,10.8,ng/L,4,Y,17020048-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2/14/2017,11:45,12.3,12.3,ng/L,4,Y,17020372-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2/28/2017,10:45,20.8,20.8,ng/L,4,Y,17020707-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,3/14/2017,10:30,15,15.0,ng/L,4,Y,17030363-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,3/28/2017,8:45,17.3,17.3,ng/L,4,Y,17030715-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,4/11/2017,11:50,20.6,20.6,ng/L,4,Y,17040341-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,4/24/2017,10:50,22.2,22.2,ng/L,4,Y,17040732-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,4/25/2017,14:15,23.3,23.3,ng/L,4,Y,17040815-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,5/9/2017,11:30,27.5,27.5,ng/L,4,Y,17050282-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,5/22/2017,12:05,22.2,22.2,ng/L,4,Y,17050689-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,6/6/2017,8:50,22.5,22.5,ng/L,4,Y,17060172-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,6/21/2017,9:25,22,22.0,ng/L,4,Y,17060591-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,6/28/2017,9:20,21.7,21.7,ng/L,4,Y,17060805-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,7/18/2017,12:10,21.1,21.1,ng/L,4,Y,17070563-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,8/1/2017,13:00,23.9,23.9,ng/L,4,Y,17080025-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,8/29/2017,10:10,21.8,21.8,ng/L,4,Y,17080783-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,9/29/2017,10:30,21,21.0,ng/L,4,Y,17090751-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,10/11/2017,12:40,25.6,25.6,ng/L,4,Y,17100389-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,11/8/2017,10:20,20.9,20.9,ng/L,4,Y,17110223-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,11/20/2017,11:40,16.4,16.4,ng/L,4,Y,17110511-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,1/9/2018,13:30,30.2,30.2,ng/L,4,Y,18010222-02,537
SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,1/10/2018,9:20,23.2,23.2,ng/L,4,Y,18010262-02,537
