Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,6/14/2016,12:10,4,ND,ng/L,40,N,16060368-19,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,7/5/2016,11:35,4,ND,ng/L,40,N,16070079-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,7/14/2016,9:30,4,ND,ng/L,40,N,16070370-01,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,7/26/2016,8:40,4,ND,ng/L,40,N,16070714-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,8/9/2016,11:55,4,ND,ng/L,40,N,16080311-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,8/23/2016,11:45,10.2,10.2,ng/L,4,Y,16080703-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,9/6/2016,9:10,11.6,11.6,ng/L,4,Y,16090097-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,10/17/2016,11:35,19.6,19.6,ng/L,4,Y,16100490-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,11/2/2016,11:30,11.4,11.4,ng/L,4,Y,16110096-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,1/19/2017,8:30,11.1,11.1,ng/L,4,Y,17010533-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2/1/2017,8:45,10.1,10.1,ng/L,4,Y,17020048-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2/14/2017,11:45,10.9,10.9,ng/L,4,Y,17020372-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2/28/2017,10:45,17.7,17.7,ng/L,4,Y,17020707-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,3/14/2017,10:30,14,14.0,ng/L,4,Y,17030363-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,3/28/2017,8:45,13.2,13.2,ng/L,4,Y,17030715-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,4/11/2017,11:50,16.2,16.2,ng/L,4,Y,17040341-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,4/24/2017,10:50,18.9,18.9,ng/L,4,Y,17040732-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,4/25/2017,14:15,21,21.0,ng/L,4,Y,17040815-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,5/9/2017,11:30,20.6,20.6,ng/L,4,Y,17050282-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,5/22/2017,12:05,17.2,17.2,ng/L,4,Y,17050689-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,6/6/2017,8:50,17,17.0,ng/L,4,Y,17060172-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,6/21/2017,9:25,16.6,16.6,ng/L,4,Y,17060591-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,6/28/2017,9:20,15.8,15.8,ng/L,4,Y,17060805-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,7/18/2017,12:10,15.4,15.4,ng/L,4,Y,17070563-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,8/1/2017,13:00,18,18.0,ng/L,4,Y,17080025-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,8/29/2017,10:10,14.6,14.6,ng/L,4,Y,17080783-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,9/29/2017,10:30,16.2,16.2,ng/L,4,Y,17090751-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,10/11/2017,12:40,14,14.0,ng/L,4,Y,17100389-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,11/8/2017,10:20,16,16.0,ng/L,4,Y,17110223-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,11/20/2017,11:40,11.8,11.8,ng/L,4,Y,17110511-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,1/9/2018,13:30,27.7,27.7,ng/L,4,Y,18010222-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,1/10/2018,9:20,20.9,20.9,ng/L,4,Y,18010262-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2/21/2018,12:55,20.4,20.4,ng/L,4,Y,18020589-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,3/6/2018,12:30,21,21,ng/L,2,Y,440-205458-1,537MOD
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,3/6/2018,12:30,17.9,17.9,ng/L,4,Y,18030133-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,4/25/2018,10:00,16.7,16.7,ng/L,4,Y,18040717-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,5/22/2018,14:05,18.1,18.1,ng/L,4,Y,18050579-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,6/5/2018,11:55,22,22.0,ng/L,4,Y,18060104-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,7/23/2018,10:25,16.5,16.5,ng/L,4,Y,18070599-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,8/14/2018,11:50,19,19.0,ng/L,4,Y,18080368-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,9/18/2018,12:00,26.2,26.2,ng/L,4,Y,18090350-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,10/22/2018,12:35,17.7,17.7,ng/L,4,Y,18100715-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,11/7/2018,9:45,19,19.0,ng/L,4,Y,18110189-02,537
SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,12/4/2018,13:15,21.6,21.6,ng/L,4,Y,18120064-02,537
