,STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,Station Name,Parameter Name,Parameter Abbreviation,Sample Date,Sample Time,Result Value (10% of RDL for NDs),Result Text,Units,RDL,Detected (Y: Yes; N: No),Laboratory Sample Number,Method,latitude,longitude
0,US1CAOR0021,33.8632,-117.7918,90.8,2016-06-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2016-06-14,12:10:00,9.0,ND,ng/L,90,N,16060368-19,537,33.85746227,-117.79209184
1,US1CAOR0021,33.8632,-117.7918,90.8,2016-06-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2016-06-14,12:10:00,1.0,ND,ng/L,10,N,16060368-19,537,33.85746227,-117.79209184
2,US1CAOR0021,33.8632,-117.7918,90.8,2016-06-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2016-06-14,12:10:00,3.0,ND,ng/L,30,N,16060368-19,537,33.85746227,-117.79209184
3,US1CAOR0021,33.8632,-117.7918,90.8,2016-06-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2016-06-14,12:10:00,2.0,ND,ng/L,20,N,16060368-19,537,33.85746227,-117.79209184
4,US1CAOR0021,33.8632,-117.7918,90.8,2016-06-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2016-06-14,12:10:00,4.0,ND,ng/L,40,N,16060368-19,537,33.85746227,-117.79209184
5,US1CAOR0021,33.8632,-117.7918,90.8,2016-06-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2016-06-14,12:10:00,2.0,ND,ng/L,20,N,16060368-19,537,33.85746227,-117.79209184
6,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2016-07-05,11:35:00,9.0,ND,ng/L,90,N,16070079-02,537,33.85746227,-117.79209184
7,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2016-07-05,11:35:00,1.0,ND,ng/L,10,N,16070079-02,537,33.85746227,-117.79209184
8,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2016-07-05,11:35:00,3.0,ND,ng/L,30,N,16070079-02,537,33.85746227,-117.79209184
9,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2016-07-05,11:35:00,2.0,ND,ng/L,20,N,16070079-02,537,33.85746227,-117.79209184
10,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2016-07-05,11:35:00,4.0,ND,ng/L,40,N,16070079-02,537,33.85746227,-117.79209184
11,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-05,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2016-07-05,11:35:00,2.0,ND,ng/L,20,N,16070079-02,537,33.85746227,-117.79209184
17,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2016-07-14,09:30:00,2.0,ND,ng/L,20,N,16070370-01,537,33.85746227,-117.79209184
16,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2016-07-14,09:30:00,4.0,ND,ng/L,40,N,16070370-01,537,33.85746227,-117.79209184
15,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2016-07-14,09:30:00,2.0,ND,ng/L,20,N,16070370-01,537,33.85746227,-117.79209184
13,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2016-07-14,09:30:00,1.0,ND,ng/L,10,N,16070370-01,537,33.85746227,-117.79209184
12,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2016-07-14,09:30:00,9.0,ND,ng/L,90,N,16070370-01,537,33.85746227,-117.79209184
14,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-14,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2016-07-14,09:30:00,3.0,ND,ng/L,30,N,16070370-01,537,33.85746227,-117.79209184
18,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-26,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2016-07-26,08:40:00,9.0,ND,ng/L,90,N,16070714-02,537,33.85746227,-117.79209184
19,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-26,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2016-07-26,08:40:00,1.0,ND,ng/L,10,N,16070714-02,537,33.85746227,-117.79209184
20,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-26,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2016-07-26,08:40:00,3.0,ND,ng/L,30,N,16070714-02,537,33.85746227,-117.79209184
21,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-26,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2016-07-26,08:40:00,2.0,ND,ng/L,20,N,16070714-02,537,33.85746227,-117.79209184
22,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-26,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2016-07-26,08:40:00,4.0,ND,ng/L,40,N,16070714-02,537,33.85746227,-117.79209184
23,US1CAOR0021,33.8632,-117.7918,90.8,2016-07-26,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2016-07-26,08:40:00,2.0,ND,ng/L,20,N,16070714-02,537,33.85746227,-117.79209184
28,US1CAOR0021,33.8632,-117.7918,90.8,2016-08-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro octane sulfonic acid,PFOS,2016-08-09,11:55:00,4.0,ND,ng/L,40,N,16080311-02,537,33.85746227,-117.79209184
29,US1CAOR0021,33.8632,-117.7918,90.8,2016-08-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro octanoic acid,PFOA,2016-08-09,11:55:00,2.0,ND,ng/L,20,N,16080311-02,537,33.85746227,-117.79209184
27,US1CAOR0021,33.8632,-117.7918,90.8,2016-08-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro nonanoic acid,PFNA,2016-08-09,11:55:00,2.0,ND,ng/L,20,N,16080311-02,537,33.85746227,-117.79209184
24,US1CAOR0021,33.8632,-117.7918,90.8,2016-08-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2016-08-09,11:55:00,9.0,ND,ng/L,90,N,16080311-02,537,33.85746227,-117.79209184
25,US1CAOR0021,33.8632,-117.7918,90.8,2016-08-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro heptanoic acid,PFHpA,2016-08-09,11:55:00,1.0,ND,ng/L,10,N,16080311-02,537,33.85746227,-117.79209184
26,US1CAOR0021,33.8632,-117.7918,90.8,2016-08-09,0.0,,,,SAR-IMPERIAL-01,Perfluoro hexane sulfonic acid,PFHxS,2016-08-09,11:55:00,3.0,ND,ng/L,30,N,16080311-02,537,33.85746227,-117.79209184
30,US1CAOR0021,33.8632,-117.7918,90.8,2016-08-23,0.0,,,,SAR-IMPERIAL-01,Perfluoro butane sulfonic acid,PFBS,2016-08-23,11:45:00,6.44,6.44,ng/L,4,Y,16080703-02,537,33.85746227,-117.79209184
