WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES,YEAR
3010027-023,0.0044,PFOA,2019-04-23,UG/L,,UNK,33.786490600001,-117.839104000001,MUNICIPAL,NA,NA,NA,DHS,3010027-023,WELL 25,2019
3010092-077,NA,PFOS,2019-04-23,,,UNK,33.786490600001,-117.799488000001,MUNICIPAL,NA,NA,NA,DHS,3010092-077,WELL OPA-1,2019
3010082-005,NA,PFDOA,2019-04-23,,,UNK,33.815463900001,-117.799488000001,MUNICIPAL,NA,NA,NA,DHS,3010082-005,WELL 03 009,2019
3010082-005,NA,PFHA,2019-04-23,,,UNK,33.815463900001,-117.799488000001,MUNICIPAL,NA,NA,NA,DHS,3010082-005,WELL 03 009,2019
3010082-005,NA,PFHPA,2019-04-23,,,UNK,33.815463900001,-117.799488000001,MUNICIPAL,NA,NA,NA,DHS,3010082-005,WELL 03 009,2019
3010082-005,NA,PFOS,2019-04-23,,,UNK,33.815463900001,-117.799488000001,MUNICIPAL,NA,NA,NA,DHS,3010082-005,WELL 03 009,2019
3010068-001,NA,PFTRIDA,2019-04-23,,,UNK,33.786490600001,-117.839104000001,MUNICIPAL,NA,NA,NA,DHS,3010068-001,EAST WELL,2019
3010068-001,NA,PFUNDCA,2019-04-23,,,UNK,33.786490600001,-117.839104000001,MUNICIPAL,NA,NA,NA,DHS,3010068-001,EAST WELL,2019
3010082-007,NA,PFHA,2019-04-23,,,UNK,33.815463900001,-117.799488000001,MUNICIPAL,NA,NA,NA,DHS,3010082-007,WELL 05 011,2019
3010001-096,NA,PFHXSA,2019-04-10,,,UNK,33.873410500001,-117.839104000001,MUNICIPAL,NA,NA,NA,DHS,3010001-096,WELL 58,2019
3010027-008,NA,PFTEDA,2019-04-23,,,UNK,33.815463900001,-117.878720000001,MUNICIPAL,NA,NA,NA,DHS,3010027-008,WELL 08,2019
3010001-035,NA,PFNDCA,2019-04-10,,,UNK,33.873410500001,-117.839104000001,MUNICIPAL,NA,NA,NA,DHS,3010001-035,WELL 042 085,2019
