,WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,APPROXIMATE LATITUDE,APPROXIMATE LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES,YEAR,STATION,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN
0,3010027-023,0.0044,PFOA,2019-04-23,UG/L,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
1,3010027-023,,PFHPA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
2,3010027-023,,PFHA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
3,3010027-023,,PFTEDA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
4,3010027-023,,PFUNDCA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
5,3010027-023,,PFNA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
6,3010027-023,,PFOS,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
7,3010027-023,,PFDOA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
8,3010027-023,,PFBSA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
9,3010027-023,,PFHXSA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
10,3010027-023,,PFNDCA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
11,3010027-023,,PFTRIDA,2019-04-23,,,UNK,33.786490600001,-117.83910400000099,MUNICIPAL,,,,DHS,3010027-023,WELL 25,2019,US1CAOR0042,33.7655,-117.8878,33.5,0.0,,,
0,3010092-077,,PFOS,2019-04-23,,,UNK,33.786490600001,-117.79948800000099,MUNICIPAL,,,,DHS,3010092-077,WELL OPA-1,2019,US1CAOR0031,33.8261,-117.7781,197.8,0.0,,,
